sequence	length	num_cysteines	occurence	hmm_pred	pssm_pred	definitive_pred
HIJWH8M01CC9LH_frame=1	82	8	2	O1	O1	O1
HIJWH8M01EF5QW_frame=4	56	7	2	O1	O1	O1
HIJWH8M01BLHDM_frame=4	143	10	2	O1	O1	O1
HIJWH8M01B584I_frame=4	72	7	2	O1	O1	O1
HIJWH8M01CY53H_frame=4	137	10	2	O1	O1	O1
HIJWH8M01D4K4J_frame=6	128	9	3	O1	O1	O1
HIJWH8M01EEONC_frame=6	124	8	2	O1	O1	O1
HIJWH8M01DKMPI_frame=3	92	8	2	O1	O1	O1
HIJWH8M01DKXYO_frame=3	130	10	2	O1	O1	O1
HIJWH8M01CN38A_frame=4	122	5	2	A	A	A
HIJWH8M01B7T1H_frame=6	110	9	3	O1	O1	O1
HIJWH8M01BZT45_frame=6	113	8	3	O1	O1	O1
HIJWH8M01BD9JX_frame=2	95	9	2	O1	O1	O1
HIJWH8M01CO9BL_frame=2	124	9	2	I3	CONFLICT I3 and O1	I3
HIJWH8M01CBRFB_frame=3	97	9	4	O1	O1	O1
HIJWH8M01AT4K2_frame=2	92	7	2	O2	CONFLICT O1 and O2	O2
HIJWH8M01BTZB2_frame=3	93	9	2	O1	O1	O1
HIJWH8M01CBFKJ_frame=6	136	10	2	O1	O1	O1
HIJWH8M01EQ65E_frame=3	106	10	2	O1	O1	O1
HIJWH8M01EWHW2_frame=2	132	10	2	O1	O1	O1
HIJWH8M01AQSSS_frame=5	136	9	2	O1	O1	O1
HIJWH8M01A8NNB_frame=2	131	11	3	O1	O1	O1
HIJWH8M01EWD6S_frame=4	130	9	8	O1	O1	O1
HIJWH8M01B9KZG_frame=4	155	9	3	A	A	A
HIJWH8M01AM89U_frame=3	154	12	2	O1	O1	O1
HIJWH8M01CUMJB_frame=6	109	8	2	O1	O1	O1
HIJWH8M01CIOGA_frame=6	142	11	2	O1	O1	O1
HIJWH8M01C7QMT_frame=5	148	11	3	O1	O1	O1
HIJWH8M01C8ZXL_frame=5	120	8	2	O1	O1	O1
HIJWH8M01C3RI4_frame=4	139	11	3	O1	O1	O1
HIJWH8M01CN68N_frame=2	100	9	2	O1	O1	O1
HIJWH8M01EGJMU_frame=3	157	10	9	O3	O1	CONFLICT O3 and O1
HIJWH8M01BJK6D_frame=6	139	10	3	O1	O1	O1
HIJWH8M01COP9L_frame=3	133	10	8	O1	O1	O1
HIJWH8M01EIB2I_frame=5	162	10	5	O3	O1	CONFLICT O3 and O1
HIJWH8M01CELRS_frame=5	107	7	2	O1	O1	O1
HIJWH8M01B9C11_frame=5	130	10	2	O1	O1	O1
HIJWH8M01ARNDA_frame=2	101	9	2	O1	O1	O1
HIJWH8M01CL2RB_frame=5	129	9	3	O1	O1	O1
HIJWH8M01CRMJP_frame=3	112	10	6	S	CONFLICT M and O1	S
HIJWH8M01DQ1XK_frame=1	119	5	3	B	B	B
HIJWH8M01CLNTC_frame=6	128	9	5	O1	O1	O1
HIJWH8M01BL5IW_frame=6	132	5	2	B	M	CONFLICT B and M
HIJWH8M01BAOI7_frame=6	131	10	3	O1	O1	O1
HIJWH8M01C00AH_frame=6	143	11	2	O1	O1	O1
HIJWH8M01BPA0I_frame=2	128	9	3	O1	O1	O1
HIJWH8M01AXH8C_frame=5	143	7	2	O3	O3	O3
HIJWH8M01EOCCW_frame=6	160	7	5	O3	O3	O3
HIJWH8M01B1K7K_frame=5	131	9	2	O1	O1	O1
HIJWH8M01EE8XZ_frame=6	131	9	11	O1	O1	O1
HIJWH8M01DBT1C_frame=4	161	7	3	O3	O3	O3
HIJWH8M01B0YFC_frame=1	127	11	2	O1	O1	O1
HIJWH8M01C0AD4_frame=6	122	9	2	O1	O1	O1
HIJWH8M01AGMUT_frame=5	128	8	2	O1	O1	O1
HIJWH8M01DH34T_frame=1	154	10	2	O1	O1	O1
HIJWH8M01BXISQ_frame=6	159	7	3	O3	O3	O3
HIJWH8M01DR2FT_frame=4	149	9	2	O3	O1	CONFLICT O3 and O1
HIJWH8M01CR9X6_frame=5	157	7	2	A	A	A
HIJWH8M01D5DEF_frame=5	135	9	2	O1	O1	O1
HIJWH8M01AZQA6_frame=6	161	7	2	O3	O3	O3
HIJWH8M01A4XO4_frame=5	150	11	3	O1	O1	O1
HIJWH8M01DMJQ8_frame=4	148	11	3	O1	O1	O1
HIJWH8M01C8AC3_frame=6	147	9	3	O2	O2	O2
HIJWH8M01D85C3_frame=5	159	8	2	A	A	A
HIJWH8M01B82DF_frame=6	135	10	2	O1	O1	O1
HIJWH8M01A9SRY_frame=5	128	6	2	A	A	A
HIJWH8M01AX3WK_frame=6	135	10	7	O1	O1	O1
HIJWH8M01EW6V2_frame=5	137	10	5	O1	O1	O1
HIJWH8M01D37S6_frame=4	134	10	2	O1	O1	O1
HIJWH8M01DKX2C_frame=6	121	9	3	O1	O1	O1
HIJWH8M01CZNA6_frame=5	137	5	2	B	M	CONFLICT B and M
HIJWH8M01CG53Y_frame=2	134	10	3	O1	O1	O1
HIJWH8M01AN74D_frame=6	137	11	2	O1	O1	O1
HIJWH8M01DNDTH_frame=4	115	9	4	O1	O1	O1
HIJWH8M01EEDC0_frame=2	122	8	2	O1	O1	O1
HIJWH8M01CO4EM_frame=1	147	10	2	A	A	A
HIJWH8M01ASKLS_frame=4	162	7	3	O3	O3	O3
HIJWH8M01EH8WZ_frame=4	150	11	2	O1	O1	O1
HIJWH8M01BAJSY_frame=6	123	9	3	O1	O1	O1
HIJWH8M01CDVRO_frame=4	137	9	2	O1	O1	O1
HIJWH8M01AK5IX_frame=2	98	9	2	O1	O1	O1
HIJWH8M01BN4TS_frame=1	105	10	4	S	CONFLICT M and O1	S
HIJWH8M01EFWOH_frame=6	128	9	2	O1	O1	O1
HIJWH8M01ECIE1_frame=1	148	11	2	O1	O1	O1
HIJWH8M01AR3OC_frame=4	106	8	2	O1	O1	O1
HIJWH8M01DWW80_frame=2	155	9	2	A	A	A
HIJWH8M01B5DWY_frame=5	152	4	2	A	A	A
HIJWH8M01DJSON_frame=1	153	12	2	O1	O1	O1
HIJWH8M01CG9N6_frame=6	139	10	2	O1	O1	O1
HIJWH8M01B12RZ_frame=5	107	8	3	O1	O1	O1
HIJWH8M01BFF7K_frame=5	161	10	2	O3	O1	CONFLICT O3 and O1
